Product code;Language;Vendor;Product id;Category
"";"ar";"";"";"العاب الاطفال///اجهزة الالعاب "
"";"en";"EL-Mokhtar";"2665";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2666";"Toys ///Game console"
"";"ar";"";"";"العاب الاطفال///اجهزة الالعاب "
"";"en";"EL-Mokhtar";"2667";"Toys ///Game console"
"";"ar";"";"";"العاب الاطفال///اجهزة الالعاب "
"";"en";"EL-Mokhtar";"2668";"MOBILE & TABLET///Tablet"
"";"ar";"";"";"موبايلات و تابلت///تابلت"
"";"en";"EL-Mokhtar";"2669";"MOBILE & TABLET///Tablet"
"";"ar";"";"";"موبايلات و تابلت///تابلت"
"";"en";"EL-Mokhtar";"2670";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2671";"MOBILE & TABLET///Tablet"
"";"ar";"";"";"موبايلات و تابلت///تابلت"
"";"en";"EL-Mokhtar";"2672";"MOBILE & TABLET"
"";"ar";"";"";"موبايلات و تابلت"
"";"en";"EL-Mokhtar";"2673";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2674";"HOME APPLIANCES///COOKERS"
"";"ar";"";"";"الاجهزة المنزلية///بوتاجازات"
"";"en";"EL-Mokhtar";"2675";"HOME APPLIANCES"
"";"ar";"";"";"الاجهزة المنزلية"
"";"en";"EL-Mokhtar";"2676";"HOME APPLIANCES///Gas Water Heater"
"";"ar";"";"";"الاجهزة المنزلية///سخانات غاز""";"en";"EL-Mokhtar";"2677";"HOME APPLIANCES///Electric Water Heater"
"";"ar";"";"";"الاجهزة المنزلية///سخانات كهربائية"
"";"en";"EL-Mokhtar";"2679";"SMALL HOME APPLIANCES ///coffee makers"
"";"ar";"";"";"اجهزة منزلية صغيرة///ماكينات قهوة"
"";"en";"EL-Mokhtar";"2680";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2681";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2682";"HOME DECORATION"
"";"ar";"";"";"ديكورات منزلية"
"";"en";"EL-Mokhtar";"2683";"Health & Beauty"
"";"ar";"";"";"الصحة و الجمال "
"";"";"";"";""
"";"ar";"EL-Mokhtar";"2684";"عدد و ادوات///ادوات"
"";"en";"EL-Mokhtar";"2684";"Tools & Equipment///Equipment"
"";"";"";"";""
"";"en";"EL-Mokhtar";"2685";"Toys "
"";"ar";"";"";"العاب الاطفال"
"";"en";"EL-Mokhtar";"2686";"SMALL HOME APPLIANCES ///Sewing machine"
"";"ar";"";"";"اجهزة منزلية صغيرة///ماكينات خياطة"
"";"en";"EL-Mokhtar";"2687";"SMALL HOME APPLIANCES ///Sewing machine"
"";"ar";"";"";"اجهزة منزلية صغيرة///ماكينات خياطة"
"";"en";"EL-Mokhtar";"2688";"SMALL HOME APPLIANCES ///Sewing machine"
"";"ar";"";"";"اجهزة منزلية صغيرة///ماكينات خياطة"
"";"en";"EL-Mokhtar";"2689";"SMALL HOME APPLIANCES ///Sewing machine"
"";"ar";"";"";"اجهزة منزلية صغيرة///ماكينات خياطة"
"";"en";"EL-Mokhtar";"2690";"SMALL HOME APPLIANCES "
"";"ar";"";"";"اجهزة منزلية صغيرة"
"";"en";"EL-Mokhtar";"2691";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته""";"en";"EL-Mokhtar";"2692";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2693";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2694";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2695";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2696";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2697";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2698";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2699";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2700";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2701";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2702";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2703";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2704";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2705";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2706";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب""";"en";"EL-Mokhtar";"2707";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2708";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2709";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2710";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2711";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2712";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
"";"en";"EL-Mokhtar";"2713";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2714";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2715";"Computers  & Accessories "
"";"ar";"";"";"الكمبيوتر و ملحقاته"
"";"en";"EL-Mokhtar";"2716";"Computers  & Accessories ///Laptop"
"";"ar";"";"";"الكمبيوتر و ملحقاته///لاب توب"
